Datetime,Resolution code,Offshore/onshore,Region,Grid connection type,Measured & Upscaled,Most recent forecast,Most recent P10,Most recent P90,Day Ahead 11AM forecast,Day Ahead 11AM P10,Day Ahead 11AM P90,Day-ahead 6PM forecast,Day-ahead 6PM P10,Day-ahead 6PM P90,Week-ahead forecast,Week-ahead P10,Week-ahead P90,Monitored capacity,Load factor,Decremental bid Indicator
2017-12-31 14:30:00+01:00,PT15M,Onshore,Flanders,Elia,37.709,43.971,39.036,48.231,38.841,26.879,47.829,37.977,26.033,47.506,34.65,20.007,47.63,53.86,0.700132,0
2017-12-31 14:15:00+01:00,PT15M,Onshore,Flanders,Elia,40.372,44.34,40.024,48.033,39.724,28.101,48.204,39.465,27.835,48.108,34.751,20.133,47.699,53.86,0.749578,0
2017-12-31 14:00:00+01:00,PT15M,Onshore,Flanders,Elia,42.029,44.712,41.014,47.834,40.606,29.323,48.578,40.954,29.634,48.71,34.852,20.259,47.768,53.86,0.780337,0
2017-12-31 13:45:00+01:00,PT15M,Onshore,Flanders,Elia,42.503,44.932,41.579,47.735,41.394,30.638,48.85,41.99,31.194,49.066,34.922,20.358,47.853,53.86,0.789144,0
2017-12-31 13:30:00+01:00,PT15M,Onshore,Flanders,Elia,43.068,45,41.719,47.736,42.088,32.045,49.02,42.575,32.513,49.176,34.959,20.427,47.956,53.86,0.799621,0
2017-12-31 13:15:00+01:00,PT15M,Onshore,Flanders,Elia,43.061,45.07,41.86,47.738,42.781,33.45,49.19,43.161,33.831,49.285,34.999,20.498,48.058,53.86,0.79949,0
2017-12-31 13:00:00+01:00,PT15M,Onshore,Flanders,Elia,43.086,45.138,42,47.739,43.475,34.857,49.36,43.746,35.15,49.395,35.036,20.567,48.161,53.86,0.799954,0
2017-12-31 12:45:00+01:00,PT15M,Onshore,Flanders,Elia,43.619,45.132,42.001,47.723,44.048,36.042,49.458,44.256,36.297,49.453,35.039,20.606,48.198,53.86,0.80985,0
2017-12-31 12:30:00+01:00,PT15M,Onshore,Flanders,Elia,43.744,45.052,41.862,47.689,44.498,37.001,49.482,44.692,37.275,49.455,35.004,20.613,48.168,53.86,0.812173,0
2017-12-31 12:15:00+01:00,PT15M,Onshore,Flanders,Elia,43.012,44.972,41.722,47.658,44.948,37.959,49.507,45.129,38.251,49.462,34.973,20.619,48.138,53.86,0.798587,0
2017-12-31 12:00:00+01:00,PT15M,Onshore,Flanders,Elia,42.088,44.892,41.583,47.624,45.398,38.918,49.531,45.565,39.229,49.464,34.938,20.626,48.108,53.86,0.781429,0
2017-12-31 11:45:00+01:00,PT15M,Onshore,Flanders,Elia,41.194,44.726,41.373,47.543,45.775,39.796,49.558,45.904,40.076,49.477,34.877,20.607,48.052,53.86,0.764832,0
2017-12-31 11:30:00+01:00,PT15M,Onshore,Flanders,Elia,43.208,44.476,41.093,47.415,46.081,40.589,49.583,46.147,40.794,49.497,34.789,20.563,47.972,53.86,0.802228,0
2017-12-31 11:15:00+01:00,PT15M,Onshore,Flanders,Elia,42.959,44.225,40.813,47.286,46.386,41.381,49.608,46.391,41.514,49.517,34.701,20.516,47.895,53.86,0.797597,0
2017-12-31 11:00:00+01:00,PT15M,Onshore,Flanders,Elia,42.827,43.975,40.533,47.158,46.692,42.174,49.633,46.634,42.232,49.537,34.613,20.472,47.815,53.86,0.795154,0
2017-12-31 10:45:00+01:00,PT15M,Onshore,Flanders,Elia,43.127,46.283,42.944,48.926,46.9,42.699,49.657,46.79,42.689,49.55,34.509,20.41,47.725,53.86,0.800727,0
2017-12-31 10:30:00+01:00,PT15M,Onshore,Flanders,Elia,42.913,46.194,42.844,48.84,47.014,42.959,49.683,46.863,42.886,49.561,34.392,20.333,47.625,53.86,0.79675,0
2017-12-31 10:15:00+01:00,PT15M,Onshore,Flanders,Elia,43.014,46.109,42.744,48.752,47.128,43.217,49.709,46.936,43.084,49.57,34.274,20.257,47.527,53.86,0.798633,0
2017-12-31 10:00:00+01:00,PT15M,Onshore,Flanders,Elia,43.08,46.02,42.644,48.666,47.242,43.477,49.735,47.009,43.281,49.581,34.157,20.18,47.427,53.86,0.799859,0
2017-12-31 09:45:00+01:00,PT15M,Onshore,Flanders,Elia,43.042,45.937,42.574,48.568,47.267,43.582,49.754,47.044,43.393,49.594,34.036,20.097,47.312,53.86,0.799145,0
2017-12-31 09:30:00+01:00,PT15M,Onshore,Flanders,Elia,41.794,45.858,42.536,48.457,47.207,43.534,49.767,47.044,43.422,49.608,33.916,20.006,47.182,53.86,0.775984,0
2017-12-31 09:15:00+01:00,PT15M,Onshore,Flanders,Elia,42.324,45.778,42.5,48.347,47.147,43.484,49.78,47.042,43.448,49.623,33.793,19.915,47.048,53.86,0.785811,0
2017-12-31 09:00:00+01:00,PT15M,Onshore,Flanders,Elia,42.308,45.699,42.462,48.236,47.087,43.436,49.793,47.042,43.477,49.637,33.673,19.824,46.918,53.86,0.785512,0
2017-12-31 08:45:00+01:00,PT15M,Onshore,Flanders,Elia,42.217,45.583,42.339,48.112,46.995,43.351,49.781,47.005,43.455,49.642,33.561,19.737,46.795,53.86,0.783827,0
2017-12-31 08:30:00+01:00,PT15M,Onshore,Flanders,Elia,42.741,45.426,42.13,47.97,46.871,43.23,49.744,46.933,43.385,49.637,33.458,19.654,46.686,53.86,0.793563,0
2017-12-31 08:15:00+01:00,PT15M,Onshore,Flanders,Elia,43.206,45.268,41.919,47.827,46.745,43.108,49.705,46.859,43.313,49.632,33.356,19.569,46.573,53.86,0.802196,0
2017-12-31 08:00:00+01:00,PT15M,Onshore,Flanders,Elia,42.729,45.111,41.71,47.685,46.621,42.987,49.668,46.787,43.243,49.627,33.253,19.486,46.464,53.86,0.793343,0
2017-12-31 07:45:00+01:00,PT15M,Onshore,Flanders,Elia,43.019,44.972,41.502,47.565,46.49,42.837,49.63,46.714,43.18,49.595,33.171,19.415,46.379,53.86,0.798724,0
2017-12-31 07:30:00+01:00,PT15M,Onshore,Flanders,Elia,42.84,44.85,41.296,47.466,46.357,42.659,49.591,46.64,43.123,49.537,33.113,19.356,46.322,53.86,0.795402,0
2017-12-31 07:15:00+01:00,PT15M,Onshore,Flanders,Elia,42.594,44.728,41.092,47.368,46.223,42.484,49.554,46.568,43.067,49.477,33.05,19.297,46.266,53.86,0.790836,0
2017-12-31 07:00:00+01:00,PT15M,Onshore,Flanders,Elia,42.425,44.606,40.886,47.269,46.09,42.306,49.515,46.494,43.01,49.419,32.992,19.238,46.209,53.86,0.787694,0
2017-12-31 06:45:00+01:00,PT15M,Onshore,Flanders,Elia,42.492,44.441,40.62,47.195,46.018,42.24,49.466,46.453,42.996,49.376,32.958,19.199,46.201,53.86,0.788931,0
2017-12-31 06:30:00+01:00,PT15M,Onshore,Flanders,Elia,42.559,44.227,40.291,47.147,46.008,42.287,49.408,46.443,43.022,49.352,32.957,19.178,46.239,53.86,0.790171,0
