Time Stamp,Actual Total WTG Output Power /kW,Forecasted Power,,,,,,,,,,,,,,,,,
,,T+10,T+20,T+30,T+40,T+50,T+60,T+70,T+80,T+90,T+100,T+110,T+120,T+130,T+140,T+150,T+160,T+170,T+180
9/1/21 4:00,"98,487.8","99,648.5","99,782.1","99,915.7","100,038.3","100,177.8","100,327.7","100,456.6","100,610.3","100,769.7","100,941.5","101,088.6","101,210.9","101,346.9","101,486.1","101,610.1","101,737.5","101,779.6","101,844.4"
9/1/21 4:10,"99,056.5","99,782.1","99,915.7","100,038.3","100,177.8","100,327.7","100,456.6","100,610.3","100,769.7","100,941.5","101,088.6","101,210.9","101,346.9","101,486.1","101,610.1","101,737.5","101,779.6","101,844.4","101,912.7"
9/1/21 4:20,"101,688.0","99,763.6","99,896.0","100,024.3","100,144.3","100,273.9","100,415.4","100,543.7","100,685.2","100,833.7","100,992.6","101,138.7","101,261.2","101,387.9","101,520.4","101,583.8","101,641.8","101,680.5","101,731.4"
9/1/21 4:30,"101,448.7","99,896.0","100,024.3","100,144.3","100,273.9","100,415.4","100,543.7","100,685.2","100,833.7","100,992.6","101,138.7","101,261.2","101,387.9","101,520.4","101,583.8","101,641.8","101,680.5","101,731.4","101,789.1"
9/1/21 4:40,"101,497.1","100,024.3","100,144.3","100,273.9","100,415.4","100,543.7","100,685.2","100,833.7","100,992.6","101,138.7","101,261.2","101,387.9","101,520.4","101,583.8","101,641.8","101,680.5","101,731.4","101,789.1","101,827.7"
9/1/21 4:50,"101,602.3","99,934.7","100,074.7","100,219.1","100,345.1","100,489.8","100,636.7","100,791.1","100,936.3","101,062.5","101,202.7","101,343.1","101,418.9","101,490.7","101,541.2","101,605.0","101,671.2","101,715.5","101,572.4"
9/1/21 5:00,"101,635.8","102,095.8","102,146.7","102,192.3","102,240.4","102,286.0","102,331.1","102,381.4","102,428.5","102,481.9","102,532.9","102,530.3","102,520.1","102,501.0","102,477.2","102,448.9","102,411.6","102,205.0","101,979.2"
9/1/21 5:10,"101,521.7","101,971.9","102,028.7","102,078.7","102,126.7","102,170.0","102,219.3","102,272.3","102,316.8","102,370.3","102,380.1","102,388.2","102,382.9","102,364.5","102,345.1","102,321.3","102,134.4","101,931.2","101,709.5"
9/1/21 5:20,"101,555.4","102,028.7","102,078.7","102,126.7","102,170.0","102,219.3","102,272.3","102,316.8","102,370.3","102,380.1","102,388.2","102,382.9","102,364.5","102,345.1","102,321.3","102,134.4","101,931.2","101,709.5","101,473.0"
9/1/21 5:30,"101,619.8","102,105.3","102,151.4","102,196.2","102,237.3","102,282.5","102,331.4","102,374.0","102,380.6","102,384.1","102,384.9","102,374.7","102,352.4","102,327.1","102,150.8","101,954.6","101,741.5","101,511.2","101,264.8"
9/1/21 5:40,"101,611.5","102,151.4","102,196.2","102,237.3","102,282.5","102,331.4","102,374.0","102,380.6","102,384.1","102,384.9","102,374.7","102,352.4","102,327.1","102,150.8","101,954.6","101,741.5","101,511.2","101,264.8","100,998.2"
9/1/21 5:50,"101,384.1","102,011.7","102,064.6","102,110.6","102,156.3","102,197.5","102,209.9","102,220.3","102,218.5","102,218.8","102,214.5","102,207.2","102,059.2","101,888.8","101,702.6","101,498.2","101,276.3","101,037.0","100,675.6"
9/1/21 6:00,"101,517.5","102,064.6","102,110.6","102,156.3","102,197.5","102,209.9","102,220.3","102,218.5","102,218.8","102,214.5","102,207.2","102,059.2","101,888.8","101,702.6","101,498.2","101,276.3","101,037.0","100,675.6","100,283.0"
9/1/21 6:10,"101,567.7","102,062.3","102,112.1","102,156.9","102,168.6","102,174.6","102,178.7","102,178.5","102,171.3","102,161.6","102,031.1","101,880.6","101,709.5","101,518.4","101,308.5","101,082.1","100,736.2","100,368.2","99,974.9"
9/1/21 6:20,"101,673.7","102,112.1","102,156.9","102,168.6","102,174.6","102,178.7","102,178.5","102,171.3","102,161.6","102,031.1","101,880.6","101,709.5","101,518.4","101,308.5","101,082.1","100,736.2","100,368.2","99,974.9","99,547.6"
9/1/21 6:30,"101,686.9","101,975.4","102,003.4","102,019.6","102,030.8","102,033.6","102,036.1","102,036.0","101,924.7","101,799.7","101,655.1","101,489.8","101,303.6","101,101.4","100,786.2","100,443.0","100,078.9","99,688.0","99,284.6"
9/1/21 6:40,"101,685.4","102,003.4","102,019.6","102,030.8","102,033.6","102,036.1","102,036.0","101,924.7","101,799.7","101,655.1","101,489.8","101,303.6","101,101.4","100,786.2","100,443.0","100,078.9","99,688.0","99,284.6","98,839.4"
9/1/21 6:50,"101,518.6","102,048.1","102,065.3","102,072.4","102,074.2","102,068.8","101,973.9","101,861.6","101,729.8","101,580.2","101,410.0","101,216.7","100,920.3","100,604.4","100,258.0","99,882.8","99,489.9","99,069.5","98,415.1"
9/1/21 7:00,"101,625.9","102,065.3","102,072.4","102,074.2","102,068.8","101,973.9","101,861.6","101,729.8","101,580.2","101,410.0","101,216.7","100,920.3","100,604.4","100,258.0","99,882.8","99,489.9","99,069.5","98,415.1","97,695.1"
9/1/21 7:10,"101,595.4","102,005.8","102,017.2","102,018.8","101,939.4","101,841.8","101,728.6","101,597.0","101,448.2","101,278.4","101,011.5","100,709.6","100,384.7","100,044.8","99,671.8","99,269.1","98,641.7","97,969.2","97,280.0"
9/1/21 7:20,"101,530.1","102,017.2","102,018.8","101,939.4","101,841.8","101,728.6","101,597.0","101,448.2","101,278.4","101,011.5","100,709.6","100,384.7","100,044.8","99,671.8","99,269.1","98,641.7","97,969.2","97,280.0","96,516.2"
9/1/21 7:30,"101,364.7","102,018.8","101,939.4","101,841.8","101,728.6","101,597.0","101,448.2","101,278.4","101,011.5","100,709.6","100,384.7","100,044.8","99,671.8","99,269.1","98,641.7","97,969.2","97,280.0","96,516.2","95,692.5"
9/1/21 7:40,"85,493.0","101,872.0","101,793.3","101,697.0","101,584.5","101,454.3","101,303.6","101,072.4","100,807.5","100,510.9","100,176.9","99,823.9","99,460.3","98,867.2","98,226.5","97,558.1","96,844.6","96,118.2","95,309.1"
9/1/21 7:50,"57,491.2","101,793.3","101,697.0","101,584.5","101,454.3","101,303.6","101,072.4","100,807.5","100,510.9","100,176.9","99,823.9","99,460.3","98,867.2","98,226.5","97,558.1","96,844.6","96,118.2","95,309.1","93,624.3"
9/1/21 8:00,"56,401.6","101,603.3","101,510.6","101,400.6","101,274.8","101,071.7","100,838.4","100,585.9","100,295.9","99,973.3","99,611.1","99,056.7","98,480.5","97,847.8","97,165.6","96,460.9","95,708.5","94,199.5","92,540.2"
9/1/21 8:10,"58,778.9","96,809.4","96,756.2","96,653.6","96,070.7","95,378.5","94,560.1","93,687.4","92,676.3","91,525.1","90,607.4","89,675.0","88,758.8","87,728.5","86,606.7","85,482.1","84,401.5","83,342.7","82,129.2"
9/1/21 8:20,"59,585.5","96,756.2","96,653.6","96,070.7","95,378.5","94,560.1","93,687.4","92,676.3","91,525.1","90,607.4","89,675.0","88,758.8","87,728.5","86,606.7","85,482.1","84,401.5","83,342.7","82,129.2","80,807.6"
9/1/21 8:30,"59,548.8","66,409.6","67,108.6","67,568.4","67,934.4","68,128.2","68,338.9","68,515.1","68,766.8","69,097.6","69,387.5","69,674.3","69,785.4","69,712.0","69,747.3","69,747.7","69,631.0","69,484.5","69,206.4"
9/1/21 8:40,"59,496.8","67,108.6","67,568.4","67,934.4","68,128.2","68,338.9","68,515.1","68,766.8","69,097.6","69,387.5","69,674.3","69,785.4","69,712.0","69,747.3","69,747.7","69,631.0","69,484.5","69,206.4","68,983.6"
9/1/21 8:50,"59,611.6","67,934.9","68,433.5","68,716.8","68,905.5","68,938.3","69,231.7","69,515.4","69,633.7","69,803.1","69,926.6","70,029.8","70,073.0","69,970.7","69,867.7","69,723.4","69,479.6","69,198.3","68,436.8"
9/1/21 9:00,"59,534.3","68,433.5","68,716.8","68,905.5","68,938.3","69,231.7","69,515.4","69,633.7","69,803.1","69,926.6","70,029.8","70,073.0","69,970.7","69,867.7","69,723.4","69,479.6","69,198.3","68,436.8","67,670.4"
9/1/21 9:10,"59,571.6","66,990.9","67,369.9","67,555.1","67,873.1","68,087.5","68,322.0","68,532.0","68,599.3","68,701.1","68,839.9","68,957.3","68,939.3","68,791.1","68,635.3","68,435.2","67,790.0","67,077.8","66,247.4"
9/1/21 9:20,"59,406.5","67,369.9","67,555.1","67,873.1","68,087.5","68,322.0","68,532.0","68,599.3","68,701.1","68,839.9","68,957.3","68,939.3","68,791.1","68,635.3","68,435.2","67,790.0","67,077.8","66,247.4","65,395.3"
9/1/21 9:30,"59,497.6","66,083.4","66,558.7","66,881.0","67,145.1","67,300.2","67,470.6","67,621.4","67,698.9","67,815.6","67,892.0","67,948.8","67,878.1","67,680.8","67,149.6","66,544.2","65,825.6","65,037.7","64,144.7"
9/1/21 9:40,"59,515.9","66,558.7","66,881.0","67,145.1","67,300.2","67,470.6","67,621.4","67,698.9","67,815.6","67,892.0","67,948.8","67,878.1","67,680.8","67,149.6","66,544.2","65,825.6","65,037.7","64,144.7","63,213.3"
9/1/21 9:50,"59,560.7","65,676.5","66,034.1","66,289.8","66,462.6","66,589.6","66,776.4","66,888.9","66,954.7","67,015.2","67,044.1","66,998.4","66,529.4","65,967.3","65,344.1","64,627.8","63,824.0","62,934.0","62,860.9"
9/1/21 10:00,"59,480.7","66,034.1","66,289.8","66,462.6","66,589.6","66,776.4","66,888.9","66,954.7","67,015.2","67,044.1","66,998.4","66,529.4","65,967.3","65,344.1","64,627.8","63,824.0","62,934.0","62,860.9","62,791.4"
9/1/21 10:10,"59,700.8","64,948.0","65,288.7","65,492.3","65,692.6","65,802.2","65,921.5","66,022.2","66,002.2","66,002.1","65,696.4","65,325.4","64,813.7","64,173.6","63,477.5","62,702.7","62,642.5","62,571.8","62,469.4"
9/1/21 10:20,"59,503.0","65,288.7","65,492.3","65,692.6","65,802.2","65,921.5","66,022.2","66,002.2","66,002.1","65,696.4","65,325.4","64,813.7","64,173.6","63,477.5","62,702.7","62,642.5","62,571.8","62,469.4","62,376.4"
9/1/21 10:30,"64,471.0","64,556.7","64,867.9","65,061.0","65,203.6","65,261.8","65,322.1","65,357.7","65,054.2","64,727.3","64,320.1","63,839.1","63,231.1","62,510.2","62,470.2","62,418.4","62,338.5","62,248.1","62,127.8"
9/1/21 10:40,"64,621.0","64,867.9","65,061.0","65,203.6","65,261.8","65,322.1","65,357.7","65,054.2","64,727.3","64,320.1","63,839.1","63,231.1","62,510.2","62,470.2","62,418.4","62,338.5","62,248.1","62,127.8","62,012.9"
9/1/21 10:50,"59,165.0","64,574.2","64,743.3","64,862.5","64,897.9","64,932.7","64,726.6","64,386.3","64,016.4","63,564.5","63,035.2","62,384.6","62,339.7","62,292.9","62,233.7","62,147.6","62,050.1","61,925.1","63,320.6"
9/1/21 11:00,"59,486.2","64,743.3","64,862.5","64,897.9","64,932.7","64,726.6","64,386.3","64,016.4","63,564.5","63,035.2","62,384.6","62,339.7","62,292.9","62,233.7","62,147.6","62,050.1","61,925.1","63,320.6","64,827.4"
